date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:35	29932/29932	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/logo-companies/img-1.png	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/logo-companies/img-1.png	(from http://tazkarty.itgeeks.info/search.html)
09:11:38	89522/89522	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-5.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-5.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:11:56	31577/31577	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-banner/img-2.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-banner/img-2.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:11:57	19097/19097	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-banner/img-3.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-banner/img-3.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:12:03	46010/46010	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-news-event/img-4.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-news-event/img-4.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:12:04	54009/54009	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-news-event/img-2.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-news-event/img-2.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:12:08	65664/65664	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-1.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-1.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:14	111475/111475	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-news-event/img-5.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-news-event/img-5.jpg	(from http://tazkarty.itgeeks.info/blog-single.html)
09:12:15	72902/72902	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-3.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-3.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:25	64124/64124	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-7.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-7.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:26	113586/113586	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-6.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-6.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:28	80366/80366	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-8.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-8.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:34	46010/46010	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-tour-package/img-4.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-tour-package/img-4.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:36	3244/3244	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/js/contact-map.js	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/js/contact-map.js	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:36	208354/208354	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/blog-posts/img-4.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/blog-posts/img-4.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:40	98114/98114	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-tour-package/img-1.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-tour-package/img-1.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:12:49	75936/75936	---M--	200	added ('OK')	font/woff2	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.woff2	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.woff2	(from http://tazkarty.itgeeks.info/fonts/fontawesome/css/all.css)
09:12:55	89100/89100	---M--	200	added ('OK')	font/woff	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.woff	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.woff	(from http://tazkarty.itgeeks.info/fonts/fontawesome/css/all.css)
09:12:57	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.eot	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.eot	(from http://tazkarty.itgeeks.info/fonts/fontawesome/css/all.css)
09:13:05	202690/202690	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/images/files/box-tour-package/img-9.jpg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/images/files/box-tour-package/img-9.jpg	(from http://tazkarty.itgeeks.info/profile-hotel-availability.html)
09:13:07	708706/708706	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.svg	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.svg	(from http://tazkarty.itgeeks.info/fonts/fontawesome/css/all.css)
09:13:13	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2011%20Feb%202020%2008:56:32%20GMT	http://tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400.eot?	D:/Projects/zapbooking.com/zap/tazkarty.itgeeks.info/fonts/fontawesome/webfonts/fa-brands-400d41d.eot	(from http://tazkarty.itgeeks.info/fonts/fontawesome/css/all.css)
